donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits,consensus_primary_donor,consensus_primary_support
glm4_moe,mimo_v2_flash,2025-07-28,2025-12-16,141,1,37,altup|attention_family|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|residual_scheme|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|shared_branch_merge_mode|stack_topology|uses_logit_softcap|windowed_rope_scope,glm4_moe,0.6000
gpt_oss,mimo_v2_flash,2025-08-05,2025-12-16,133,0,24,attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|ffn_core|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|laurel|periodic_no_rope_layers|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|zero_expert_option,glm4_moe,
helium,telechat3,2025-01-13,2025-12-24,345,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,helium,0.3500
llama,iquestloopcoder,2023-02-27,2025-12-30,1037,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,llama,0.8000
deepseek_v2,youtu_llm,2024-05-06,2025-12-31,604,0,20,attention_family|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|q_lora_present|residual_update_rule|rope_parameterization|rope_partition_detail|same_block_attention_ssm,minicpm3,
glm,youtu_llm,2021-03-18,2025-12-31,1749,0,30,altup|attention_output_gating|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|gated_delta_net|has_aux_relu2_gate|has_moe|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minicpm3,
afmoe,exaone_moe,2025-12-01,2026-01-05,35,1,36,altup|attention_pattern|block_norm_variant|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,afmoe,0.7500
ministral3,exaone_moe,2025-12-02,2026-01-05,34,0,27,attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|coefficient_mix_shared_routed|cross_layer_kv_sharing|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_lora_present|lm_head_bias|modality|optional_nope|output_head_connection|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail|zero_expert_option,afmoe,
longcat_flash,longcat_flash_ngram,2025-09-01,2026-01-29,150,1,29,altup|attention_family|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|moe_subtype|norm_scheme|output_head_connection|q_lora_present|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_default|window_schedule_detail|zero_expert_option,longcat_flash,0.9500
phixtral,longcat_flash_ngram,2024-01-08,2026-01-29,752,0,23,attention_output_gating|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|hybrid_block_schedule|laurel|moe_distribution|moe_schedule_type|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,longcat_flash,
deepseek_v2,step3p5,2024-05-06,2026-02-01,636,0,28,chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_shared_expert|hybrid_block_schedule|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|windowed_rope_scope,afmoe,
exaone_moe,step3p5,2026-01-05,2026-02-01,27,0,29,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|has_aux_relu2_gate|has_moe|kv_lora_present|kv_reuse_attention|moe_distribution|moe_subtype|ngram_memory|q_lora_present|qk_norm|qk_norm_detail|rope_partition_detail|router_activation|router_activation_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,afmoe,
gpt_oss,qwen3_5,2025-08-05,2026-02-14,193,0,22,altup|attention_projection|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_lora_present|moe_schedule_type|moe_subtype|periodic_no_rope_layers|residual_scheme|residual_update_rule|router_activation|same_block_attention_ssm|secondary_token_mixer|uses_logit_softcap|zero_expert_option,qwen3_next,
qwen3_next,qwen3_5,2025-09-09,2026-02-14,158,1,38,attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|ngram_memory|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,qwen3_next,1.0000
