donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits
lille-130m,youtu_llm,2025-08-31,2025-12-31,122,1,26,altup|bitlinear_weights|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap
minicpm3,youtu_llm,2024-09-05,2025-12-31,482,0,24,attention_family|attention_output_gating|attention_pattern|attention_projection|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|kv_layout|kv_lora_present|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|q_lora_present|residual_scheme|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail|windowed_rope_scope
afmoe,exaone_moe,2025-12-01,2026-01-05,35,1,35,altup|attention_family|attention_pattern|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|expert_bias_correction|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|optional_nope|output_head_connection|periodic_no_rope_layers|qk_norm|qk_norm_detail|rglru_recurrence|router_activation|shared_branch_merge_mode|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
ministral3,exaone_moe,2025-12-02,2026-01-05,34,0,28,attention_output_gating|attention_projection|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|kv_layout|kv_reuse_attention|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|window_schedule_detail|zero_expert_option
deepseek_v3,glm4_moe_lite,2024-12-26,2026-01-19,389,1,61,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
apertus,longcat_flash_ngram,2025-09-02,2026-01-29,149,0,14,attention_output_gating|expert_bias_correction|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|output_head_connection|projection_bias_scheme|residual_scheme|shared_expert_configurable|state_update_rule|window_schedule_detail
longcat_flash,longcat_flash_ngram,2025-09-01,2026-01-29,150,1,38,altup|attention_family|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|zero_expert_option
afmoe,step3p5,2025-12-01,2026-02-01,62,1,36,attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_shared_expert|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|tie_embeddings_configurable|uses_logit_softcap|zero_expert_option
gpt_oss,step3p5,2025-08-05,2026-02-01,180,0,21,altup|attention_family|attention_pattern|coefficient_mix_shared_routed|expert_bias_correction|ffn_activation_core|ffn_core|grouped_expert_selection|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|moe_distribution|output_head_connection|residual_scheme|rope_partition_detail|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope
gpt_oss,qwen3_5,2025-08-05,2026-02-14,193,0,24,altup|attention_projection|chunked_kv_cache|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|grouped_expert_selection|kv_layout|kv_lora_present|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|q_lora_present|residual_scheme|residual_update_rule|router_activation|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|windowed_rope_scope|zero_expert_option
qwen3_next,qwen3_5,2025-09-09,2026-02-14,158,1,36,attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|norm_scheme|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|qk_norm_detail|rglru_recurrence|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail
